1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.0,0.55,0.22,0.42,0.66,0.31,0.49,0.32,0.51,0.2,0.44,0.37,0.28,0.08,0.35,0.25,0.27,0.53,0.27,0.31,0.36,0.21,0.02,0.26,0.16
0.55,0.0,0.38,0.12,0.4,0.24,0.51,0.67,0.71,0.68,0.72,0.74,0.78,0.62,0.48,0.34,0.58,0.93,0.35,0.48,0.9,0.62,0.55,0.72,0.46
0.22,0.38,0.0,0.27,0.62,0.15,0.54,0.5,0.41,0.41,0.39,0.56,0.4,0.28,0.42,0.04,0.21,0.73,0.04,0.16,0.54,0.24,0.24,0.34,0.25
0.42,0.12,0.27,0.0,0.4,0.12,0.44,0.56,0.64,0.56,0.64,0.62,0.66,0.5,0.39,0.23,0.48,0.82,0.25,0.39,0.78,0.51,0.43,0.61,0.34
0.66,0.4,0.62,0.4,0.0,0.48,0.27,0.58,1.02,0.68,1.0,0.62,0.94,0.73,0.37,0.59,0.82,0.79,0.62,0.76,0.99,0.82,0.65,0.91,0.5
0.31,0.24,0.15,0.12,0.48,0.0,0.45,0.5,0.54,0.47,0.53,0.57,0.55,0.39,0.36,0.12,0.36,0.76,0.14,0.29,0.66,0.4,0.32,0.49,0.26
0.49,0.51,0.54,0.44,0.27,0.45,0.0,0.32,0.95,0.45,0.91,0.36,0.77,0.55,0.15,0.53,0.72,0.52,0.56,0.7,0.78,0.69,0.48,0.75,0.33
0.32,0.67,0.5,0.56,0.58,0.5,0.32,0.0,0.83,0.17,0.76,0.06,0.53,0.33,0.22,0.51,0.59,0.26,0.54,0.62,0.5,0.52,0.3,0.55,0.25
0.51,0.71,0.41,0.64,1.02,0.54,0.95,0.83,0.0,0.68,0.1,0.88,0.41,0.51,0.81,0.43,0.24,1.01,0.4,0.25,0.59,0.32,0.53,0.34,0.63
0.2,0.68,0.41,0.56,0.68,0.47,0.45,0.17,0.68,0.0,0.61,0.2,0.36,0.18,0.32,0.44,0.45,0.33,0.45,0.51,0.33,0.37,0.18,0.38,0.22
0.44,0.72,0.39,0.64,1.0,0.53,0.91,0.76,0.1,0.61,0.0,0.8,0.32,0.43,0.77,0.41,0.19,0.93,0.39,0.24,0.49,0.24,0.46,0.25,0.58
0.37,0.74,0.56,0.62,0.62,0.57,0.36,0.06,0.88,0.2,0.8,0.0,0.56,0.37,0.27,0.57,0.64,0.19,0.6,0.68,0.5,0.56,0.35,0.58,0.31
0.28,0.78,0.4,0.66,0.94,0.55,0.77,0.53,0.41,0.36,0.32,0.56,0.0,0.22,0.62,0.44,0.26,0.65,0.44,0.37,0.18,0.17,0.29,0.08,0.44
0.08,0.62,0.28,0.5,0.73,0.39,0.55,0.33,0.51,0.18,0.43,0.37,0.22,0.0,0.4,0.32,0.27,0.51,0.33,0.34,0.28,0.19,0.08,0.22,0.23
0.35,0.48,0.42,0.39,0.37,0.36,0.15,0.22,0.81,0.32,0.77,0.27,0.62,0.4,0.0,0.42,0.58,0.46,0.45,0.57,0.64,0.55,0.33,0.61,0.19
0.25,0.34,0.04,0.23,0.59,0.12,0.53,0.51,0.43,0.44,0.41,0.57,0.44,0.32,0.42,0.0,0.25,0.75,0.03,0.18,0.58,0.28,0.27,0.38,0.26
0.27,0.58,0.21,0.48,0.82,0.36,0.72,0.59,0.24,0.45,0.19,0.64,0.26,0.27,0.58,0.25,0.0,0.78,0.22,0.12,0.43,0.1,0.28,0.17,0.39
0.53,0.93,0.73,0.82,0.79,0.76,0.52,0.26,1.01,0.33,0.93,0.19,0.65,0.51,0.46,0.75,0.78,0.0,0.77,0.84,0.54,0.69,0.51,0.69,0.5
0.27,0.35,0.04,0.25,0.62,0.14,0.56,0.54,0.4,0.45,0.39,0.6,0.44,0.33,0.45,0.03,0.22,0.77,0.0,0.15,0.58,0.27,0.28,0.37,0.29
0.31,0.48,0.16,0.39,0.76,0.29,0.7,0.62,0.25,0.51,0.24,0.68,0.37,0.34,0.57,0.18,0.12,0.84,0.15,0.0,0.54,0.21,0.33,0.29,0.4
0.36,0.9,0.54,0.78,0.99,0.66,0.78,0.5,0.59,0.33,0.49,0.5,0.18,0.28,0.64,0.58,0.43,0.54,0.58,0.54,0.0,0.33,0.35,0.26,0.49
0.21,0.62,0.24,0.51,0.82,0.4,0.69,0.52,0.32,0.37,0.24,0.56,0.17,0.19,0.55,0.28,0.1,0.69,0.27,0.21,0.33,0.0,0.22,0.1,0.36
0.02,0.55,0.24,0.43,0.65,0.32,0.48,0.3,0.53,0.18,0.46,0.35,0.29,0.08,0.33,0.27,0.28,0.51,0.28,0.33,0.35,0.22,0.0,0.27,0.15
0.26,0.72,0.34,0.61,0.91,0.49,0.75,0.55,0.34,0.38,0.25,0.58,0.08,0.22,0.61,0.38,0.17,0.69,0.37,0.29,0.26,0.1,0.27,0.0,0.42
0.16,0.46,0.25,0.34,0.5,0.26,0.33,0.25,0.63,0.22,0.58,0.31,0.44,0.23,0.19,0.26,0.39,0.5,0.29,0.4,0.49,0.36,0.15,0.42,0.0
