1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.0,0.58,0.86,0.59,0.13,0.47,0.55,0.36,0.51,0.37,0.42,0.42,0.03,0.2,0.77,0.36,0.22,0.4,0.14,0.19,0.27,0.31,0.15,0.39,0.61
0.58,0.0,0.34,0.73,0.51,0.52,0.25,0.42,0.75,0.39,0.49,0.86,0.61,0.39,0.58,0.28,0.39,0.39,0.67,0.39,0.32,0.28,0.51,0.41,0.06
0.86,0.34,0.0,0.78,0.76,0.85,0.34,0.76,0.85,0.55,0.61,1.04,0.89,0.66,0.47,0.61,0.64,0.73,0.97,0.67,0.59,0.6,0.83,0.74,0.29
0.59,0.73,0.78,0.0,0.48,0.99,0.5,0.85,0.13,0.36,0.25,0.39,0.6,0.51,0.38,0.73,0.48,0.87,0.72,0.54,0.55,0.66,0.71,0.87,0.71
0.13,0.51,0.76,0.48,0.0,0.53,0.43,0.41,0.41,0.24,0.29,0.39,0.15,0.11,0.64,0.34,0.12,0.43,0.27,0.13,0.19,0.28,0.23,0.43,0.53
0.47,0.52,0.85,0.99,0.53,0.0,0.68,0.14,0.94,0.65,0.75,0.89,0.49,0.48,1.01,0.29,0.5,0.14,0.44,0.44,0.45,0.35,0.33,0.13,0.57
0.55,0.25,0.34,0.5,0.43,0.68,0.0,0.56,0.54,0.22,0.28,0.7,0.57,0.35,0.34,0.4,0.32,0.55,0.67,0.37,0.3,0.35,0.55,0.55,0.22
0.36,0.42,0.76,0.85,0.41,0.14,0.56,0.0,0.8,0.51,0.61,0.78,0.39,0.34,0.88,0.16,0.37,0.04,0.37,0.31,0.31,0.21,0.22,0.03,0.47
0.51,0.75,0.85,0.13,0.41,0.94,0.54,0.8,0.0,0.37,0.26,0.26,0.51,0.47,0.49,0.71,0.44,0.82,0.63,0.5,0.52,0.63,0.64,0.82,0.74
0.37,0.39,0.55,0.36,0.24,0.65,0.22,0.51,0.37,0.0,0.11,0.49,0.39,0.19,0.4,0.38,0.16,0.52,0.51,0.23,0.2,0.31,0.42,0.52,0.38
0.42,0.49,0.61,0.25,0.29,0.75,0.28,0.61,0.26,0.11,0.0,0.43,0.43,0.28,0.36,0.49,0.25,0.62,0.56,0.31,0.3,0.41,0.5,0.62,0.48
0.42,0.86,1.04,0.39,0.39,0.89,0.7,0.78,0.26,0.49,0.43,0.0,0.41,0.49,0.74,0.73,0.48,0.81,0.5,0.51,0.56,0.66,0.57,0.8,0.86
0.03,0.61,0.89,0.6,0.15,0.49,0.57,0.39,0.51,0.39,0.43,0.41,0.0,0.23,0.79,0.39,0.25,0.42,0.12,0.22,0.3,0.34,0.17,0.41,0.64
0.2,0.39,0.66,0.51,0.11,0.48,0.35,0.34,0.47,0.19,0.28,0.49,0.23,0.0,0.6,0.25,0.03,0.36,0.33,0.04,0.08,0.17,0.23,0.36,0.42
0.77,0.58,0.47,0.38,0.64,1.01,0.34,0.88,0.49,0.4,0.36,0.74,0.79,0.6,0.0,0.73,0.57,0.87,0.91,0.63,0.59,0.67,0.82,0.88,0.53
0.36,0.28,0.61,0.73,0.34,0.29,0.4,0.16,0.71,0.38,0.49,0.73,0.39,0.25,0.73,0.0,0.26,0.15,0.42,0.22,0.19,0.07,0.26,0.16,0.32
0.22,0.39,0.64,0.48,0.12,0.5,0.32,0.37,0.44,0.16,0.25,0.48,0.25,0.03,0.57,0.26,0.0,0.38,0.35,0.07,0.08,0.19,0.26,0.38,0.41
0.4,0.39,0.73,0.87,0.43,0.14,0.55,0.04,0.82,0.52,0.62,0.81,0.42,0.36,0.87,0.15,0.38,0.0,0.41,0.33,0.32,0.21,0.26,0.01,0.45
0.14,0.67,0.97,0.72,0.27,0.44,0.67,0.37,0.63,0.51,0.56,0.5,0.12,0.33,0.91,0.42,0.35,0.41,0.0,0.31,0.38,0.39,0.16,0.4,0.71
0.19,0.39,0.67,0.54,0.13,0.44,0.37,0.31,0.5,0.23,0.31,0.51,0.22,0.04,0.63,0.22,0.07,0.33,0.31,0.0,0.08,0.15,0.19,0.32,0.42
0.27,0.32,0.59,0.55,0.19,0.45,0.3,0.31,0.52,0.2,0.3,0.56,0.3,0.08,0.59,0.19,0.08,0.32,0.38,0.08,0.0,0.11,0.25,0.32,0.34
0.31,0.28,0.6,0.66,0.28,0.35,0.35,0.21,0.63,0.31,0.41,0.66,0.34,0.17,0.67,0.07,0.19,0.21,0.39,0.15,0.11,0.0,0.23,0.22,0.32
0.15,0.51,0.83,0.71,0.23,0.33,0.55,0.22,0.64,0.42,0.5,0.57,0.17,0.23,0.82,0.26,0.26,0.26,0.16,0.19,0.25,0.23,0.0,0.25,0.55
0.39,0.41,0.74,0.87,0.43,0.13,0.55,0.03,0.82,0.52,0.62,0.8,0.41,0.36,0.88,0.16,0.38,0.01,0.4,0.32,0.32,0.22,0.25,0.0,0.46
0.61,0.06,0.29,0.71,0.53,0.57,0.22,0.47,0.74,0.38,0.48,0.86,0.64,0.42,0.53,0.32,0.41,0.45,0.71,0.42,0.34,0.32,0.55,0.46,0.0
