1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.0,0.04,0.44,0.33,0.51,0.55,0.34,0.17,0.5,0.24,0.43,0.56,0.65,0.73,0.87,0.61,0.76,0.37,0.49,0.48,0.31,0.42,0.5,0.46,0.76
0.04,0.0,0.42,0.35,0.54,0.52,0.36,0.2,0.53,0.24,0.41,0.6,0.68,0.74,0.87,0.65,0.78,0.4,0.47,0.48,0.31,0.42,0.53,0.49,0.78
0.44,0.42,0.0,0.77,0.54,0.12,0.78,0.6,0.67,0.64,0.02,0.79,0.64,0.47,0.58,0.88,0.59,0.56,0.07,0.17,0.17,0.21,0.57,0.67,0.67
0.33,0.35,0.77,0.0,0.71,0.87,0.06,0.17,0.6,0.2,0.76,0.59,0.84,1.02,1.16,0.59,1.01,0.51,0.82,0.8,0.64,0.73,0.68,0.54,0.97
0.51,0.54,0.54,0.71,0.0,0.65,0.76,0.56,0.2,0.73,0.52,0.33,0.14,0.4,0.52,0.42,0.32,0.2,0.6,0.41,0.4,0.34,0.05,0.24,0.26
0.55,0.52,0.12,0.87,0.65,0.0,0.88,0.71,0.79,0.73,0.14,0.92,0.74,0.52,0.61,1.0,0.66,0.69,0.06,0.25,0.29,0.31,0.68,0.79,0.76
0.34,0.36,0.78,0.06,0.76,0.88,0.0,0.21,0.66,0.17,0.77,0.65,0.89,1.05,1.19,0.66,1.06,0.57,0.82,0.83,0.66,0.76,0.73,0.6,1.02
0.17,0.2,0.6,0.17,0.56,0.71,0.21,0.0,0.48,0.19,0.59,0.51,0.69,0.85,0.99,0.53,0.85,0.37,0.66,0.63,0.47,0.56,0.53,0.43,0.82
0.5,0.53,0.67,0.6,0.2,0.79,0.66,0.48,0.0,0.67,0.66,0.13,0.28,0.6,0.71,0.23,0.51,0.13,0.74,0.57,0.51,0.49,0.15,0.06,0.41
0.24,0.24,0.64,0.2,0.73,0.73,0.17,0.19,0.67,0.0,0.63,0.7,0.87,0.97,1.11,0.72,1.0,0.56,0.68,0.71,0.54,0.65,0.71,0.62,0.98
0.43,0.41,0.02,0.76,0.52,0.14,0.77,0.59,0.66,0.63,0.0,0.78,0.62,0.46,0.57,0.86,0.58,0.55,0.08,0.16,0.15,0.19,0.55,0.66,0.66
0.56,0.6,0.79,0.59,0.33,0.92,0.65,0.51,0.13,0.7,0.78,0.0,0.38,0.73,0.84,0.1,0.63,0.23,0.86,0.7,0.63,0.62,0.28,0.12,0.51
0.65,0.68,0.64,0.84,0.14,0.74,0.89,0.69,0.28,0.87,0.62,0.38,0.0,0.38,0.47,0.47,0.25,0.33,0.7,0.48,0.51,0.43,0.16,0.33,0.14
0.73,0.74,0.47,1.02,0.4,0.52,1.05,0.85,0.6,0.97,0.46,0.73,0.38,0.0,0.14,0.82,0.17,0.57,0.5,0.3,0.45,0.33,0.45,0.63,0.31
0.87,0.87,0.58,1.16,0.52,0.61,1.19,0.99,0.71,1.11,0.57,0.84,0.47,0.14,0.0,0.93,0.23,0.7,0.6,0.43,0.58,0.46,0.56,0.76,0.37
0.61,0.65,0.88,0.59,0.42,1.0,0.66,0.53,0.23,0.72,0.86,0.1,0.47,0.82,0.93,0.0,0.72,0.31,0.95,0.79,0.71,0.71,0.38,0.21,0.6
0.76,0.78,0.59,1.01,0.32,0.66,1.06,0.85,0.51,1.0,0.58,0.63,0.25,0.17,0.23,0.72,0.0,0.52,0.64,0.42,0.53,0.41,0.37,0.56,0.15
0.37,0.4,0.56,0.51,0.2,0.69,0.57,0.37,0.13,0.56,0.55,0.23,0.33,0.57,0.7,0.31,0.52,0.0,0.63,0.48,0.4,0.4,0.17,0.11,0.46
0.49,0.47,0.07,0.82,0.6,0.06,0.82,0.66,0.74,0.68,0.08,0.86,0.7,0.5,0.6,0.95,0.64,0.63,0.0,0.22,0.24,0.27,0.63,0.74,0.72
0.48,0.48,0.17,0.8,0.41,0.25,0.83,0.63,0.57,0.71,0.16,0.7,0.48,0.3,0.43,0.79,0.42,0.48,0.22,0.0,0.17,0.08,0.44,0.58,0.5
0.31,0.31,0.17,0.64,0.4,0.29,0.66,0.47,0.51,0.54,0.15,0.63,0.51,0.45,0.58,0.71,0.53,0.4,0.24,0.17,0.0,0.12,0.42,0.51,0.58
0.42,0.42,0.21,0.73,0.34,0.31,0.76,0.56,0.49,0.65,0.19,0.62,0.43,0.33,0.46,0.71,0.41,0.4,0.27,0.08,0.12,0.0,0.37,0.5,0.47
0.5,0.53,0.57,0.68,0.05,0.68,0.73,0.53,0.15,0.71,0.55,0.28,0.16,0.45,0.56,0.38,0.37,0.17,0.63,0.44,0.42,0.37,0.0,0.19,0.29
0.46,0.49,0.67,0.54,0.24,0.79,0.6,0.43,0.06,0.62,0.66,0.12,0.33,0.63,0.76,0.21,0.56,0.11,0.74,0.58,0.51,0.5,0.19,0.0,0.47
0.76,0.78,0.67,0.97,0.26,0.76,1.02,0.82,0.41,0.98,0.66,0.51,0.14,0.31,0.37,0.6,0.15,0.46,0.72,0.5,0.58,0.47,0.29,0.47,0.0
