1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.0,0.23,0.6,0.44,0.67,0.41,0.48,0.36,0.17,0.49,0.58,0.42,0.57,0.28,0.31,0.67,0.25,0.44,0.36,0.22,0.12,0.45,0.49,0.27,0.73
0.23,0.0,0.71,0.67,0.74,0.64,0.67,0.36,0.4,0.72,0.66,0.59,0.73,0.51,0.31,0.8,0.4,0.61,0.46,0.23,0.33,0.66,0.49,0.33,0.95
0.6,0.71,0.0,0.55,1.23,0.67,0.32,0.39,0.55,0.55,1.14,0.23,1.04,0.56,0.91,0.09,0.8,0.91,0.92,0.48,0.64,0.39,1.09,0.37,0.81
0.44,0.67,0.55,0.0,0.81,0.15,0.24,0.62,0.27,0.06,0.72,0.33,0.55,0.17,0.65,0.57,0.45,0.44,0.55,0.55,0.36,0.17,0.78,0.51,0.31
0.67,0.74,1.23,0.81,0.0,0.66,1.0,1.03,0.68,0.86,0.09,1.02,0.3,0.7,0.42,1.29,0.44,0.37,0.32,0.88,0.6,0.94,0.29,0.95,0.88
0.41,0.64,0.67,0.15,0.66,0.0,0.38,0.67,0.25,0.19,0.58,0.45,0.4,0.15,0.56,0.71,0.34,0.3,0.43,0.57,0.31,0.3,0.66,0.56,0.32
0.48,0.67,0.32,0.24,1.0,0.38,0.0,0.49,0.35,0.23,0.91,0.13,0.77,0.3,0.76,0.33,0.59,0.65,0.71,0.49,0.46,0.07,0.92,0.41,0.5
0.36,0.36,0.39,0.62,1.03,0.67,0.49,0.0,0.43,0.65,0.94,0.37,0.92,0.52,0.63,0.48,0.6,0.79,0.71,0.15,0.46,0.52,0.82,0.11,0.93
0.17,0.4,0.55,0.27,0.68,0.25,0.35,0.43,0.0,0.33,0.59,0.34,0.51,0.11,0.41,0.61,0.25,0.37,0.37,0.32,0.11,0.31,0.57,0.33,0.56
0.49,0.72,0.55,0.06,0.86,0.19,0.23,0.65,0.33,0.0,0.77,0.34,0.59,0.22,0.71,0.56,0.5,0.49,0.61,0.59,0.42,0.16,0.84,0.55,0.28
0.58,0.66,1.14,0.72,0.09,0.58,0.91,0.94,0.59,0.77,0.0,0.93,0.25,0.61,0.35,1.2,0.35,0.28,0.22,0.79,0.51,0.85,0.24,0.85,0.81
0.42,0.59,0.23,0.33,1.02,0.45,0.13,0.37,0.34,0.34,0.93,0.0,0.82,0.34,0.73,0.27,0.59,0.69,0.71,0.38,0.44,0.18,0.9,0.29,0.62
0.57,0.73,1.04,0.55,0.3,0.4,0.77,0.92,0.51,0.59,0.25,0.82,0.0,0.48,0.47,1.09,0.34,0.14,0.28,0.79,0.47,0.7,0.45,0.83,0.58
0.28,0.51,0.56,0.17,0.7,0.15,0.3,0.52,0.11,0.22,0.61,0.34,0.48,0.0,0.49,0.61,0.3,0.35,0.41,0.43,0.2,0.24,0.63,0.41,0.45
0.31,0.31,0.91,0.65,0.42,0.56,0.76,0.63,0.41,0.71,0.35,0.73,0.47,0.49,0.0,0.99,0.22,0.39,0.19,0.48,0.31,0.72,0.18,0.57,0.87
0.67,0.8,0.09,0.57,1.29,0.71,0.33,0.48,0.61,0.56,1.2,0.27,1.09,0.61,0.99,0.0,0.86,0.96,0.99,0.57,0.7,0.41,1.16,0.46,0.81
0.25,0.4,0.8,0.45,0.44,0.34,0.59,0.6,0.25,0.5,0.35,0.59,0.34,0.3,0.22,0.86,0.0,0.21,0.13,0.46,0.16,0.53,0.33,0.51,0.65
0.44,0.61,0.91,0.44,0.37,0.3,0.65,0.79,0.37,0.49,0.28,0.69,0.14,0.35,0.39,0.96,0.21,0.0,0.2,0.65,0.33,0.58,0.42,0.69,0.54
0.36,0.46,0.92,0.55,0.32,0.43,0.71,0.71,0.37,0.61,0.22,0.71,0.28,0.41,0.19,0.99,0.13,0.2,0.0,0.57,0.28,0.65,0.23,0.63,0.72
0.22,0.23,0.48,0.55,0.88,0.57,0.49,0.15,0.32,0.59,0.79,0.38,0.79,0.43,0.48,0.57,0.46,0.65,0.57,0.0,0.33,0.49,0.67,0.11,0.86
0.12,0.33,0.64,0.36,0.6,0.31,0.46,0.46,0.11,0.42,0.51,0.44,0.47,0.2,0.31,0.7,0.16,0.33,0.28,0.33,0.0,0.41,0.46,0.36,0.63
0.45,0.66,0.39,0.17,0.94,0.3,0.07,0.52,0.31,0.16,0.85,0.18,0.7,0.24,0.72,0.41,0.53,0.58,0.65,0.49,0.41,0.0,0.87,0.42,0.44
0.49,0.49,1.09,0.78,0.29,0.66,0.92,0.82,0.57,0.84,0.24,0.9,0.45,0.63,0.18,1.16,0.33,0.42,0.23,0.67,0.46,0.87,0.0,0.75,0.95
0.27,0.33,0.37,0.51,0.95,0.56,0.41,0.11,0.33,0.55,0.85,0.29,0.83,0.41,0.57,0.46,0.51,0.69,0.63,0.11,0.36,0.42,0.75,0.0,0.83
0.73,0.95,0.81,0.31,0.88,0.32,0.5,0.93,0.56,0.28,0.81,0.62,0.58,0.45,0.87,0.81,0.65,0.54,0.72,0.86,0.63,0.44,0.95,0.83,0.0
