1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.0,0.19,0.34,0.84,0.53,0.49,0.29,0.43,0.68,0.32,0.66,0.29,0.31,0.08,0.68,0.2,0.39,0.36,0.11,0.22,0.43,0.18,0.54,0.13,0.51
0.19,0.0,0.51,0.83,0.71,0.6,0.17,0.61,0.72,0.37,0.67,0.11,0.41,0.11,0.81,0.15,0.58,0.45,0.19,0.34,0.47,0.34,0.71,0.28,0.62
0.34,0.51,0.0,1.06,0.35,0.59,0.55,0.09,0.85,0.35,0.87,0.61,0.27,0.41,0.65,0.45,0.25,0.54,0.41,0.41,0.65,0.31,0.43,0.35,0.31
0.84,0.83,1.06,0.0,0.92,0.51,1.0,1.12,0.24,1.16,0.19,0.86,1.15,0.84,0.67,0.97,0.89,0.52,0.73,0.66,0.42,0.76,0.83,0.74,1.33
0.53,0.71,0.35,0.92,0.0,0.41,0.81,0.33,0.68,0.69,0.74,0.81,0.61,0.61,0.34,0.71,0.13,0.46,0.53,0.42,0.58,0.37,0.1,0.44,0.65
0.49,0.6,0.59,0.51,0.41,0.0,0.76,0.63,0.28,0.79,0.34,0.69,0.75,0.54,0.25,0.69,0.39,0.16,0.42,0.27,0.22,0.34,0.32,0.36,0.89
0.29,0.17,0.55,1.0,0.81,0.76,0.0,0.65,0.89,0.29,0.84,0.15,0.36,0.22,0.96,0.1,0.68,0.61,0.34,0.49,0.64,0.47,0.83,0.42,0.57
0.43,0.61,0.09,1.12,0.33,0.63,0.65,0.0,0.9,0.43,0.93,0.71,0.34,0.5,0.66,0.55,0.25,0.6,0.5,0.48,0.71,0.38,0.42,0.43,0.32
0.68,0.72,0.85,0.24,0.68,0.28,0.89,0.9,0.0,1.0,0.12,0.78,0.98,0.7,0.43,0.85,0.67,0.33,0.58,0.47,0.26,0.56,0.59,0.56,1.14
0.32,0.37,0.35,1.16,0.69,0.79,0.29,0.43,1.0,0.0,0.97,0.42,0.09,0.32,0.93,0.23,0.56,0.67,0.42,0.53,0.75,0.46,0.74,0.44,0.28
0.66,0.67,0.87,0.19,0.74,0.34,0.84,0.93,0.12,0.97,0.0,0.71,0.96,0.66,0.53,0.8,0.71,0.33,0.55,0.47,0.23,0.57,0.66,0.55,1.14
0.29,0.11,0.61,0.86,0.81,0.69,0.15,0.71,0.78,0.42,0.71,0.0,0.48,0.21,0.91,0.19,0.68,0.53,0.29,0.44,0.53,0.44,0.81,0.38,0.69
0.31,0.41,0.27,1.15,0.61,0.75,0.36,0.34,0.98,0.09,0.96,0.48,0.0,0.34,0.87,0.29,0.49,0.65,0.42,0.51,0.74,0.42,0.67,0.41,0.22
0.08,0.11,0.41,0.84,0.61,0.54,0.22,0.5,0.7,0.32,0.66,0.21,0.34,0.0,0.74,0.15,0.48,0.39,0.12,0.27,0.45,0.25,0.61,0.19,0.55
0.68,0.81,0.65,0.67,0.34,0.25,0.96,0.66,0.43,0.93,0.53,0.91,0.87,0.74,0.0,0.88,0.41,0.4,0.63,0.47,0.46,0.5,0.24,0.55,0.96
0.2,0.15,0.45,0.97,0.71,0.69,0.1,0.55,0.85,0.23,0.8,0.19,0.29,0.15,0.88,0.0,0.58,0.55,0.27,0.42,0.59,0.38,0.74,0.33,0.5
0.39,0.58,0.25,0.89,0.13,0.39,0.68,0.25,0.67,0.56,0.71,0.68,0.49,0.48,0.41,0.58,0.0,0.39,0.41,0.32,0.51,0.25,0.19,0.32,0.55
0.36,0.45,0.54,0.52,0.46,0.16,0.61,0.6,0.33,0.67,0.33,0.53,0.65,0.39,0.4,0.55,0.39,0.0,0.27,0.14,0.12,0.24,0.4,0.24,0.81
0.11,0.19,0.41,0.73,0.53,0.42,0.34,0.5,0.58,0.42,0.55,0.29,0.42,0.12,0.63,0.27,0.41,0.27,0.0,0.16,0.33,0.16,0.53,0.1,0.61
0.22,0.34,0.41,0.66,0.42,0.27,0.49,0.48,0.47,0.53,0.47,0.44,0.51,0.27,0.47,0.42,0.32,0.14,0.16,0.0,0.24,0.1,0.39,0.1,0.67
0.43,0.47,0.65,0.42,0.58,0.22,0.64,0.71,0.26,0.75,0.23,0.53,0.74,0.45,0.46,0.59,0.51,0.12,0.33,0.24,0.0,0.34,0.51,0.33,0.91
0.18,0.34,0.31,0.76,0.37,0.34,0.47,0.38,0.56,0.46,0.57,0.44,0.42,0.25,0.5,0.38,0.25,0.24,0.16,0.1,0.34,0.0,0.37,0.07,0.57
0.54,0.71,0.43,0.83,0.1,0.32,0.83,0.42,0.59,0.74,0.66,0.81,0.67,0.61,0.24,0.74,0.19,0.4,0.53,0.39,0.51,0.37,0.0,0.43,0.73
0.13,0.28,0.35,0.74,0.44,0.36,0.42,0.43,0.56,0.44,0.55,0.38,0.41,0.19,0.55,0.33,0.32,0.24,0.1,0.1,0.33,0.07,0.43,0.0,0.59
0.51,0.62,0.31,1.33,0.65,0.89,0.57,0.32,1.14,0.28,1.14,0.69,0.22,0.55,0.96,0.5,0.55,0.81,0.61,0.67,0.91,0.57,0.73,0.59,0.0
